Date,Value
2021-11-01,-154793.95459087068
2021-11-02,-154867.6659978187
2021-11-03,-154941.41250543672
2021-11-04,-155015.19413043928
2021-11-05,-155089.010889549
2021-11-08,-155162.86279949642
2021-11-09,-155236.74987702
2021-11-10,-155310.6721388662
2021-11-11,-155384.62960178946
2021-11-12,-155458.62228255218
2021-11-15,-155532.65019792487
2021-11-16,-155606.71336468583
2021-11-17,-155680.81179962133
2021-11-18,-155754.94551952594
2021-11-19,-155829.11454120188
2021-11-22,-155903.3188814596
2021-11-23,-155977.55855711745
2021-11-24,-156051.8335850018
2021-11-26,-156126.14398194707
2021-11-29,-156200.48976479558
2021-11-30,-156274.87095039786
2021-12-01,-156349.28755561236
2021-12-02,-156423.7395973055
2021-12-03,-156498.22709235185
2021-12-06,-156572.75005763388
2021-12-07,-156647.3085100423
2021-12-08,-156721.90246647564
2021-12-09,-156796.53194384067
2021-12-10,-156871.19695905197
2021-12-13,-156945.89752903252
2021-12-14,-159471.10560671298
2021-12-15,-159547.0442284305
2021-12-16,-159623.0190113964
2021-12-17,-159699.0299728304
2021-12-20,-159775.0771299603
2021-12-21,-159851.1605000222
2021-12-22,-159927.28010026025
2021-12-23,-160003.43594792706
2021-12-27,-160079.62806028323
2021-12-28,-160155.85645459764
2021-12-29,-160232.12114814747
2021-12-30,-160308.42215821802
2021-12-31,-160384.75950210285
2022-01-03,-160461.1331971039
2022-01-04,-160537.5432605311
2022-01-05,-168508.37114970275
2022-01-06,-168588.61323120262
2022-01-07,-168668.8935232174
2022-01-10,-168749.21204394277
2022-01-11,-168829.56881158278
2022-01-12,-168909.9638443502
2022-01-13,-168990.39716046656
2022-01-14,-169070.86877816197
2022-01-18,-169151.3787156754
2022-01-19,-169231.92699125432
2022-01-20,-169312.51362315487
2022-01-21,-172150.84159649926
2022-01-24,-181357.10005585002
2022-01-25,-181443.4605796861
2022-01-26,-181529.86222758124
2022-01-27,-181616.30501911812
2022-01-28,-185069.61386074626
2022-01-31,-185157.742248299
2022-02-01,-185245.9126017506
2022-02-02,-191653.68778439905
2022-02-03,-191744.95144524876
2022-02-04,-196461.58905498456
2022-02-07,-196555.14219262984
2022-02-08,-196648.73987938822
2022-02-09,-196742.38213647364
2022-02-10,-196836.06898511012
2022-02-11,-196929.80044653156
2022-02-14,-197023.57654198227
2022-02-15,-197117.39729271652
2022-02-16,-197211.26271999878
2022-02-17,-197305.17284510357
2022-02-18,-199720.9704024584
2022-02-22,-199816.07562645955
2022-02-23,-206847.63081637686
